Eta;Totale Maschi;Totale Femmine
0;65;59
1;74;47
2;54;65
3;72;52
4;67;83
5;62;63
6;74;76
7;69;63
8;73;74
9;81;82
10;89;80
11;91;91
12;91;90
13;71;95
14;80;89
15;80;96
16;99;95
17;74;92
18;89;84
19;79;74
20;83;84
21;97;87
22;80;73
23;82;74
24;82;96
25;92;71
26;75;77
27;89;81
28;91;60
29;83;71
30;79;75
31;96;81
32;87;85
33;93;87
34;85;76
35;86;110
36;110;88
37;99;82
38;105;97
39;104;92
40;105;112
41;103;117
42;87;91
43;99;110
44;119;135
45;140;120
46;148;124
47;135;151
48;117;139
49;142;143
50;154;143
51;159;141
52;134;159
53;144;150
54;143;144
55;153;158
56;153;173
57;168;168
58;129;166
59;140;135
60;109;134
61;123;130
62;123;109
63;116;109
64;85;126
65;113;132
66;101;107
67;120;100
68;87;96
69;99;119
70;95;84
71;95;92
72;98;98
73;105;87
74;97;105
75;87;111
76;67;78
77;78;76
78;70;71
79;68;81
80;58;69
81;61;84
82;69;78
83;41;71
84;47;64
85;49;60
86;45;50
87;31;57
88;21;43
89;20;34
90;13;33
91;8;18
92;4;23
93;4;19
94;1;7
95;2;6
96;1;4
97;0;7
98;1;4
99;0;1
