Eta;Totale Maschi;Totale Femmine
0;203968;191380
1;206457;195997
2;211046;198677
3;219154;208065
4;229863;216861
5;240259;226363
6;246571;233760
7;253188;239251
8;260787;246234
9;264658;249747
10;276098;260586
11;281024;264859
12;289472;271991
13;293739;276509
14;297046;280564
15;297391;279163
16;298599;279585
17;297619;278059
18;301360;282489
19;297279;276671
20;296590;275530
21;301836;279003
22;310282;283722
23;309038;280571
24;313299;281686
25;310157;283161
26;310103;284913
27;307623;284758
28;308862;289601
29;312660;296419
30;325236;309268
31;323031;309785
32;329611;315784
33;326191;317416
34;334613;325045
35;327153;320066
36;328128;322291
37;337305;333188
38;343828;339842
39;349785;346020
40;361013;358824
41;362289;361856
42;372574;369601
43;382249;383228
44;402539;402930
45;414240;417360
46;431937;435408
47;451742;456290
48;469420;474509
49;465152;472809
50;470049;476472
51;472221;482685
52;467571;477896
53;478695;490749
54;473639;486960
55;473758;489725
56;478635;492662
57;476139;491233
58;480494;497652
59;446897;468467
60;428978;452536
61;417506;443210
62;402654;428559
63;390399;416976
64;369644;398452
65;363179;393494
66;353413;384653
67;343776;376658
68;334882;370081
69;318050;351087
70;308681;345131
71;304078;342402
72;310891;352672
73;308022;352094
74;314675;365225
75;301503;352934
76;293180;349678
77;219447;266926
78;218824;271183
79;211157;270025
80;201268;262849
81;193453;259038
82;201945;277199
83;187588;263259
84;168211;245218
85;142338;215135
86;119197;190403
87;108884;181089
88;91756;161696
89;75908;141340
90;61012;122465
91;49910;105894
92;40758;94138
93;28824;71772
94;20835;56802
95;14946;43936
96;9997;32626
97;6589;23767
98;4276;16723
99;2833;11695
100;3730;18142
;;
